№,Word,Articles
1,and,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
2,2015,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
3,International,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
4,Conference,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
5,on,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
6,Analysis,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
7,(ICDAR)1025,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
8,Recognition,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
9,13th,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
10,Document,[ObjectId('5ebf2f7c57fbbe0f4ebfe96f')]
11,указанный,"[ObjectId('5ebf318c57fbbe0f4ebfe9d1'), ObjectId('5ebf31d157fbbe0f4ebfe9d6'), ObjectId('5ebf31f457fbbe0f4ebfe9d8'), ObjectId('5ebf323757fbbe0f4ebfe9da')]"
12,адрес.,"[ObjectId('5ebf318c57fbbe0f4ebfe9d1'), ObjectId('5ebf31d157fbbe0f4ebfe9d6'), ObjectId('5ebf31f457fbbe0f4ebfe9d8'), ObjectId('5ebf323757fbbe0f4ebfe9da')]"
13,им,"[ObjectId('5ebf318c57fbbe0f4ebfe9d1'), ObjectId('5ebf31d157fbbe0f4ebfe9d6'), ObjectId('5ebf31f457fbbe0f4ebfe9d8'), ObjectId('5ebf323757fbbe0f4ebfe9da')]"
14,электронный,"[ObjectId('5ebf318c57fbbe0f4ebfe9d1'), ObjectId('5ebf31d157fbbe0f4ebfe9d6'), ObjectId('5ebf31f457fbbe0f4ebfe9d8'), ObjectId('5ebf323757fbbe0f4ebfe9da')]"
